"Observation Time UTC" RA(deg) DEC(deg) Observatory PGW ObsInfo ZenIni ZenEnd Duration Delay
"2016-05-17 07:31:47.064997" 327.6562 -36.4236 South 0.2035 True 43.9527 43.919 10 23145
"2016-05-17 07:32:17.064997" 331.1719 -40.2282 South 0.1327 True 46.7497 46.7178 10 23175
"2016-05-17 07:32:47.064997" 324.8438 -32.09 South 0.1161 True 41.433 41.3976 10 23205
"2016-05-17 07:33:17.064997" 335.25 -44.9939 South 0.0829 True 49.8625 49.833 10 23235
"2016-05-17 07:33:47.064997" 339.5455 -48.9228 South 0.0674 True 52.9958 52.9683 10 23265
"2016-05-17 07:34:17.064997" 322.0312 -27.9532 South 0.0378 True 38.922 38.8852 10 23295
"2016-05-17 07:34:47.064997" 344.7 -52.8019 South 0.0317 True 56.3317 56.3065 10 23325
"2016-05-17 07:35:17.064997" 351.0 -56.6372 South 0.0298 True 60.009 59.986 10 23355
"2016-05-17 07:35:47.064997" 333.5714 -42.6098 South 0.0175 True 48.0297 47.999 10 23385
"2016-05-17 07:36:17.064997" 356.7073 -59.6778 South 0.0102 True 62.8249 62.8038 10 23415
"2016-05-17 07:36:47.064997" 319.9219 -24.6243 South 0.0098 True 36.884 36.8464 10 23445
"2016-05-17 07:37:17.064997" 327.6562 -33.5101 South 0.0062 True 42.814 42.7792 10 23475
