"Observation Time UTC" RA(deg) DEC(deg) Observatory PGW ObsInfo ZenIni ZenEnd Duration Delay
"2016-03-13 07:33:49.142997" 294.4737 -47.3576 South 0.5676 True 65.746 65.7182 10 152932
"2016-03-13 07:34:19.142997" 295.3636 -48.9228 South 0.0653 True 65.9678 65.9408 10 152962
"2016-03-13 07:35:19.142997" 294.3443 -44.2015 South 0.2743 True 65.9976 65.9683 10 153022
"2016-03-13 07:35:49.142997" 295.8333 -49.7024 South 0.008 True 65.8912 65.8646 10 153052
"2016-03-13 07:36:19.142997" 294.75 -44.9939 South 0.0131 True 65.9503 65.9213 10 153082
"2016-03-13 07:37:19.142997" 295.1695 -45.784 South 0.0063 True 65.9146 65.886 10 153142
"2016-03-13 07:39:19.142997" 294.6094 -41.8103 South 0.0413 True 65.9559 65.9254 10 153262
"2016-03-13 07:42:49.142997" 295.3125 -41.0145 South 0.0051 True 65.9955 65.9647 10 153472
